  1   246   222   198   135   102    86    72    62    65    77   109   178
  2   246   222   198   135   102    86    72    62    65    77   109   178
  6  1728  1596  1429   978   717   601   491   404   421   497   710  1214
  7  1928  1798  1612  1105   807   672   549   451   467   551   784  1339
  8  1971  1847  1656  1140   829   690   563   462   477   562   799  1362
  9  1987  1868  1676  1156   839   698   569   467   481   566   804  1369
 10  2036  1928  1730  1199   866   719   586   480   492   579   820  1393
 11  2149  2054  1845  1289   926   766   622   510   518   609   860  1458
 12  2426  2348  2117  1491  1064   875   708   578   582   685   965  1630
 14    96    97    86    59    43    36    29    24    25    31    40    69
 15   156   159   140    95    70    59    48    41    42    50    64   112
 16   159   162   142    96    71    60    48    41    42    51    65   114
 17  3238  3291  2968  2139  1538  1291  1049   871   862   988  1337  2196
 18  3616  3733  3385  2458  1759  1483  1208  1009   991  1136  1506  2432
 20   321   322   293   210   133   101    80    63    55    67   120   232
 22   187   190   194   147    94    71    56    44    38    44    77   143
 23   265   290   293   231   145   106    83    66    57    74   122   197
 24   874   871   838   610   388   298   238   191   168   200   349   646
 25   516   517   487   366   252   196   162   132   120   148   223   371
 28   625   632   596   455   312   245   202   168   154   185   274   449
 31  2664  2750  2695  2018  1304  1006   799   640   567   687  1127  1942
 32  2789  2888  2830  2125  1375  1062   847   680   603   723  1181  2033
 33  4010  4173  4161  3183  2081  1625  1306  1064   961  1135  1758  2948
 34  8794  9195  8856  6672  4585  3752  3064  2568  2444  2815  3898  6228
 37   690   720   614   400   320   322   250   212   228   280   307   463
 38   773   810   693   456   365   368   285   243   260   314   346   518
 39   920   961   830   563   454   453   359   309   326   386   423   626
 40  1113  1165  1015   686   554   549   441   383   403   470   512   755
 42  1198  1258  1091   735   590   587   469   407   428   501   547   808
 43  1255  1344  1178   805   632   632   507   440   456   533   579   846
 44 10049 10539 10035  7478  5217  4384  3570  3008  2900  3347  4477  7074
 45 10472 11005 10470  7849  5539  4694  3856  3290  3173  3625  4777  7416
 46 11362 12138 11579  8894  6439  5591  4580  3911  3795  4296  5442  8099
 47   333   366   311   220   195   206   177   148   161   191   185   234
 48   341   375   319   226   199   211   182   152   165   196   190   239
 49   519   545   452   327   306   322   279   231   258   308   290   354
 50   673   715   607   450   415   436   373   313   343   402   387   470
 51   684   728   619   459   424   445   380   320   350   410   394   478
 52   707   755   644   479   441   463   396   333   363   425   410   496
 54   161   162   136   101   126   157   164   131   147   192   156   139
 55   191   191   160   120   148   183   189   152   170   221   181   162
 57   314   315   259   194   237   291   290   230   261   341   285   259
 58   386   386   314   237   282   334   328   263   303   397   339   313
 61  1547  1580  1300   990  1002  1110   988   808   893  1112  1028  1115
 62  1620  1660  1370  1044  1056  1170  1046   856   941  1176  1087  1172
 63  1789  1839  1537  1176  1182  1316  1176   973  1056  1320  1230  1313
 65    86    89    79    82   116   142   123   101   115   159   121    91
 66 14865 16029 15025 11936  9619  9015  7593  6363  6387  7666  8510 11153
 70    21    20    14    20    40    50    42    22    38    50    27    19
 71    94    95    82    80   107   131   120    89   110   140   110    93
 72    99   100    86    84   112   138   125    94   115   147   115    98
 73   117   118   102   100   134   164   149   112   137   173   137   116
 74   625   677   611   482   579   720   727   612   720   936   697   581
 75   812   869   782   642   779   967   953   795   931  1209   922   765
 76   716   772   694   563   685   852   846   705   831  1086   812   668
 77   930   991   876   757   944  1182  1142   926  1096  1446  1085   882
 78   969  1031   915   793   991  1240  1196   969  1140  1521  1144   925
 80    55    59    51    53    74    91    81    65    77   102    75    56
 81  1300  1379  1224  1106  1427  1780  1665  1350  1566  2123  1604  1279
 83    59    63    55    57    79    97    86    70    82   109    80    60
 85   111   140   106   107   139   163   204   210   243   213   127   108
 88   186   223   180   157   204   237   264   277   331   353   231   169
 89   219   262   213   192   253   293   333   337   411   437   284   205
 92   703   857   682   704   984  1159  1310  1336  1562  1586   992   729
 93    36    34    29    37    56    72    78    70    78    85    59    46
 94   852  1015   822   865  1217  1456  1624  1637  1887  1936  1246   918
 97   164   202   157   176   242   326   412   412   467   404   228   182
 98    96   120    93   101   129   180   225   227   252   217   124    98
 99    80    85    85    73    60    54    49    46    47    51    59    70
100    05    06    06    05    04    04    04    03    04    05    05    05
101   116   134   105    76    93    98   117   129   160   172   114    96
102   167   145   125   193   251   304   292   277   324   368   277   219
103   174   151   130   199   260   316   303   288   335   382   289   227
104    46    46    42    30    23    22    18    16    22    27    27    36
109    26    25    23    17    12    11    09    09    12    16    16    21
110    22    20    16    21    29    35    40    40    43    46    33    25
111   140   125   107   143   198   246   271   270   309   315   223   177
112   142   126   109   145   199   249   274   272   312   317   225   179
113   175   157   136   184   254   316   352   343   397   402   290   223
114   213   194   169   234   310   401   443   419   482   486   347   269
115    26    27    24    18    17    17    17    15    18    21    20    21
116    06    06    05    04    03    02    02    02    03    03    03    05
117    20    20    19    13    11    10    09    08    09    11    12    15
118    26    25    23    17    12    11    09    09    12    16    16    21
119    32    31    29    21    15    14    11    10    15    19    19    25
120    45    47    45    33    26    23    19    17    18    20    23    33
121   106   111   102    78    61    54    47    42    44    50    58    78
122   120   127   115    89    69    62    54    48    50    57    67    89
123   376   393   382   270   188   165   139   119   123   147   185   266
125   493   510   489   341   239   207   172   147   151   182   239   347
